Offender_isMale,Offender_ethnicAppearance,Offender_Age,DASH_Assessment,AccHowKnown,Known 1,Known 2,ProceedingsType,Previous_Crimes,Crimes in pre 1,Previous_DV,DV in Pre 1
0,6,36.0,2,1,0,1,0,36.0,0,36.0,0
1,7,42.0,0,4,0,1,0,42.0,0,42.0,0
1,3,37.0,1,4,0,1,0,37.0,0,37.0,0
0,2,43.0,1,1,0,1,0,43.0,0,43.0,0
0,6,24.0,2,1,0,1,0,24.0,0,24.0,0
1,7,40.0,1,6,1,1,2,40.0,0,40.0,0
0,6,38.0,1,1,0,1,5,38.0,0,38.0,0
0,3,31.0,0,1,0,1,0,31.0,0,31.0,0
0,2,14.0,3,0,0,0,0,14.0,0,14.0,0
0,6,20.0,2,0,0,0,0,20.0,0,20.0,0
0,7,23.0,2,0,0,0,0,23.0,0,23.0,0
0,2,36.0,2,0,0,0,0,36.0,0,36.0,0
1,6,18.0,2,3,0,0,0,18.0,0,18.0,0
1,6,70.0,0,6,1,1,0,70.0,0,70.0,0
0,9,29.0,1,0,0,0,0,29.0,0,29.0,0
1,6,18.0,2,3,0,0,0,18.0,1,18.0,0
0,3,29.0,1,0,0,0,0,29.0,0,29.0,0
0,2,44.0,1,2,1,1,0,44.0,0,44.0,0
0,7,32.0,1,1,0,1,0,32.0,1,32.0,1
1,3,22.0,1,4,0,1,0,22.0,0,22.0,0
0,3,19.0,0,0,0,0,0,19.0,1,19.0,0
0,6,33.0,1,1,0,1,0,33.0,0,33.0,0
0,3,22.0,0,1,0,1,0,22.0,0,22.0,0
0,6,45.0,2,1,0,1,0,45.0,0,45.0,0
0,2,30.0,1,9,1,0,0,30.0,0,30.0,0
0,7,29.0,2,1,0,1,0,29.0,0,29.0,0
0,6,31.0,1,0,0,0,0,31.0,1,31.0,0
0,6,52.0,2,1,0,1,0,52.0,0,52.0,0
0,7,25.0,1,4,0,1,0,25.0,0,25.0,0
0,6,17.0,0,1,0,1,0,17.0,0,17.0,0
0,6,35.0,2,0,0,0,0,35.0,1,35.0,0
0,3,30.0,2,0,0,0,0,30.0,0,30.0,0
0,6,37.0,0,1,0,1,0,37.0,0,37.0,0
